Time,Position y (m),Velocity y (m/s),Moving Average (Velocity) w/ 25 points,Acceleration (m/s^2),Moving Acceleration (m/s^2)
0.808333333,1.803076204,3.2577901,3.123222587,1.131542091,0.097579284
0.8125,1.815860993,3.068349439,3.115751058,-1.793167108,-0.150435222
0.816666667,1.829157293,3.191111934,3.125925711,2.441916886,0.056907614
0.820833333,1.841616963,2.990320741,3.116541895,-2.252116013,-0.0952699
0.825,1.85535973,3.298264173,3.130457519,3.33974993,0.15923028
0.829166667,1.867432382,2.897436314,3.115679624,-3.546694827,-0.056283426
0.833333333,1.881198126,3.30377878,3.131324128,3.754680884,0.22977648
0.8375,1.893346834,2.915689808,3.11069711,-4.950484189,-0.243376639
0.841666667,1.906117109,3.064865914,3.115430335,1.135973876,-0.184255423
0.845833333,1.918673003,3.013414763,3.107887723,-1.810226837,-0.225467545
0.85,1.932179317,3.241515309,3.118354609,2.512052677,-0.121532521
0.854166667,1.94456187,2.971812629,3.105354262,-3.120083298,-0.261038814
0.858333333,1.957340692,3.066917228,3.111174008,1.39673901,-0.203642184
0.8625,1.970695244,3.205092609,3.107149716,-0.965829979,-0.220872681
0.866666667,1.984336262,3.273844266,3.12199318,3.562431278,-0.069289098
0.870833333,1.99729527,3.110161916,3.113942684,-1.932119077,-0.182710901
0.875,2.009660556,2.967668762,3.11628556,0.562290206,-0.181985737
0.879166667,2.024556232,3.574962179,3.127379502,2.662546014,-0.086599349
0.883333333,2.037677761,3.149166813,3.138036155,2.557596866,0.025307124
0.8875,2.050735241,3.133795385,3.132591996,-1.306598194,0.045533553
0.891666667,2.063829651,3.142658377,3.137144345,1.092563648,0.144686003
0.895833333,2.077544771,3.291628743,3.133746244,-0.815544047,0.015888071
0.9,2.089844701,2.951983165,3.1325564,-0.285562711,0.077557773
0.904166667,2.103602136,3.301784369,3.132530392,-0.006241764,-0.009607907
0.908333333,2.116419891,3.076261217,3.138410997,1.411345186,0.19107042
0.9125,2.129174105,3.06101149,3.130539853,-1.889074657,0.07024575
0.916666667,2.141099295,2.862045474,3.122287694,-1.980518065,0.062751712
0.920833333,2.155052113,3.348676317,3.12859027,1.512618077,0.02557976
0.925,2.167317851,2.943777097,3.126728524,-0.446818981,0.097791641
0.929166667,2.180905147,3.260951125,3.125236002,-0.358205262,-0.050126567
0.933333333,2.193321911,2.980023367,3.128539484,0.792835717,0.123454655
0.9375,2.20769827,3.450326224,3.134401382,1.406855457,0.029541638
0.941666667,2.219559952,2.846803538,3.131645931,-0.661308194,0.201108678
0.945833333,2.233839591,3.427113418,3.146135831,3.47757603,0.294772764
0.95,2.246332564,2.998313436,3.145531778,-0.14497274,0.361382928
0.954166667,2.259508606,3.162250218,3.142361174,-0.760944866,0.230463026
0.958333333,2.273137858,3.271020344,3.154329483,2.872394069,0.470162121
0.9625,2.28663111,3.238380531,3.161188015,1.646047708,0.480134469
0.966666667,2.300268319,3.272930127,3.163901516,0.651240172,0.544817275
0.970833333,2.312552201,2.948131819,3.150873018,-3.126839497,0.277246444
0.975,2.326142035,3.261560082,3.156928945,1.453422399,0.412668103
0.979166667,2.339026942,3.092377735,3.161917304,1.197206134,0.43806474
0.983333333,2.352324432,3.191397466,3.146574715,-3.68222124,0.18427405
0.9875,2.365633124,3.194086081,3.148371486,0.431224967,0.099219174
